Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"SEPTIN3","Septin 3","Protein Coding","28","GC22P043263","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN3"
"RNA5-8SN1","RNA, 5.8S Ribosomal N1","RNA Gene","8","GC21P011422","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SN1"
"RNA5-8SN2","RNA, 5.8S Ribosomal N2","RNA Gene","8","GC21P011336","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SN2"
"RNA5-8SN3","RNA, 5.8S Ribosomal N3","RNA Gene","8","GC21P011404","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SN3"
"RNA5-8SP10","RNA, 5.8S Ribosomal Pseudogene 10","Pseudogene","8","GC21P011578","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SP10"
"RNR3","RNA, Ribosomal 45S Cluster 3","RNA Gene","8","GC15U990044","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNR3"
"RNR4","RNA, Ribosomal 45S Cluster 4","RNA Gene","8","GC21U990019","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNR4"
"RNA28SN2","RNA, 28S Ribosomal N2","RNA Gene","7","GC21P011573","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28SN2"
"RNA45SN1","RNA, 45S Pre-Ribosomal N1","RNA Gene","7","GC21P011575","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45SN1"
"RNA45SN2","RNA, 45S Pre-Ribosomal N2","RNA Gene","7","GC21P011576","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45SN2"
"RNA45SN3","RNA, 45S Pre-Ribosomal N3","RNA Gene","7","GC21P011577","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45SN3"
"RNA18SN1","RNA, 18S Ribosomal N1","RNA Gene","6","GC21P011568","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SN1"
"RNA18SN2","RNA, 18S Ribosomal N2","RNA Gene","6","GC21P011569","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SN2"
"RNA18SN3","RNA, 18S Ribosomal N3","RNA Gene","6","GC21P011570","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SN3"
"RNA28SN1","RNA, 28S Ribosomal N1","RNA Gene","6","GC21P011572","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28SN1"
"RNA28SN3","RNA, 28S Ribosomal N3","RNA Gene","6","GC21P011574","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28SN3"
"RNA5-8SN5","RNA, 5.8S Ribosomal N5","RNA Gene","6","GC00P7E0274","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SN5"
"RNR5","RNA, Ribosomal 45S Cluster 5","RNA Gene","6","GC22U990041","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNR5"
"RNA18SN5","RNA, 18S Ribosomal N5","RNA Gene","5","GC00P7E0278","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SN5"
"RNA5-8SP8","RNA, 5.8S Ribosomal Pseudogene 8","Pseudogene","5","GC00P7E0273","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SP8"
"RNA45SN5","RNA, 45S Pre-Ribosomal N5","RNA Gene","4","GC00P7E0276","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45SN5"
"RNA18SN4","RNA, 18S Pre-Ribosomal N4","RNA Gene","3","GC22P8F0125","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SN4"
"RNA18SP3","RNA, 18S Ribosomal Pseudogene 3","Pseudogene","3","GC00P7E0279","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SP3"
"RNA18SP4","RNA, 18S Ribosomal Pseudogene 4","Pseudogene","3","GC22P8F0171","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SP4"
"RNA18SP5","RNA, 18S Ribosomal Pseudogene 5","Pseudogene","3","GC21P011571","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18SP5"
"RNA45SN4","RNA, 45S Pre-Ribosomal N4","RNA Gene","3","GC22P8F0122","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45SN4"
"RNA5-8SN4","RNA, 5.8S Ribosomal N4","RNA Gene","3","GC22P8F0128","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SN4"
"RNA5-8SP9","RNA, 5.8S Ribosomal Pseudogene 9","Pseudogene","3","GC22U901410","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8SP9"
"RNA18S1","RNA, 18S Ribosomal 1","RNA Gene","2","GC13U901408","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18S1"
"RNA18S2","RNA, 18S Ribosomal 2","RNA Gene","2","GC14U901916","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18S2"
"RNA18S3","RNA, 18S Ribosomal 3","RNA Gene","2","GC15U902208","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA18S3"
"RNA28S1","RNA, 28S Ribosomal 1","RNA Gene","2","GC13U901405","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28S1"
"RNA28S2","RNA, 28S Ribosomal 2","RNA Gene","2","GC14U901921","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28S2"
"RNA28S3","RNA, 28S Ribosomal 3","RNA Gene","2","GC15U902212","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28S3"
"RNA28SN4","RNA, 28S Ribosomal N4","RNA Gene","2","GC22P8F0130","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA28SN4"
"RNA45S1","RNA, 45S Pre-Ribosomal 1","RNA Gene","2","GC13U901402","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45S1"
"RNA45S2","RNA, 45S Pre-Ribosomal 2","RNA Gene","2","GC14U901919","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45S2"
"RNA45S3","RNA, 45S Pre-Ribosomal 3","RNA Gene","2","GC15U902211","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA45S3"
"RNA5-8S1","RNA, 5.8S Ribosomal 1","RNA Gene","2","GC13U901404","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8S1"
"RNA5-8S2","RNA, 5.8S Ribosomal 2","RNA Gene","2","GC14U901917","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8S2"
"RNA5-8S3","RNA, 5.8S Ribosomal 3","RNA Gene","2","GC15U902210","0.900127649307251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNA5-8S3"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","3","GC02U903086","0.899663329124451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"MIR144","MicroRNA 144","RNA Gene","19","GC17M035143","0.89956933259964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR144"
"HMGN4","High Mobility Group Nucleosomal Binding Domain 4","Protein Coding","30","GC06P026538","0.899360120296478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN4"
"TEK","TEK Receptor Tyrosine Kinase","Protein Coding","49","GC09P027109","0.899335026741028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK"
"TAX1BP3","Tax1 Binding Protein 3","Protein Coding","36","GC17M004518","0.899331569671631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP3"
"HPX","Hemopexin","Protein Coding","40","GC11M006578","0.899242520332336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPX"
"HEY2","Hes Related Family BHLH Transcription Factor With YRPW Motif 2","Protein Coding","38","GC06P125730","0.899242520332336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEY2"
"GCM1","Glial Cells Missing Transcription Factor 1","Protein Coding","37","GC06M066351","0.899242520332336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCM1"
"MED27","Mediator Complex Subunit 27","Protein Coding","36","GC09M131860","0.898866415023804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED27"
"HEPH","Hephaestin","Protein Coding","38","GC0XP066162","0.898771286010742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEPH"
"NOL4","Nucleolar Protein 4","Protein Coding","37","GC18M033851","0.898556351661682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL4"
"PPIG","Peptidylprolyl Isomerase G","Protein Coding","40","GC02P169584","0.898462057113647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG"
"DLG5","Discs Large MAGUK Scaffold Protein 5","Protein Coding","38","GC10M077790","0.898400187492371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG5"
"TARP","TCR Gamma Alternate Reading Frame Protein","Protein Coding","20","GC07M039063","0.898400187492371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARP"
"ABHD14B","Abhydrolase Domain Containing 14B","Protein Coding","34","GC03M051968","0.89835000038147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD14B"
"VTRNA2-1","Vault RNA 2-1","RNA Gene","16","GC05M136081","0.897751271724701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTRNA2-1"
"PADI2","Peptidyl Arginine Deiminase 2","Protein Coding","41","GC01M017066","0.897663831710815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI2"
"TNNT3","Troponin T3, Fast Skeletal Type","Protein Coding","42","GC11P001920","0.897579073905945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT3"
"EP400P1","EP400 Pseudogene 1","Pseudogene","18","GC12P132085","0.897209644317627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP400P1"
"FGGY","FGGY Carbohydrate Kinase Domain Containing","Protein Coding","36","GC01P059296","0.897064328193665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGGY"
"MTMR12","Myotubularin Related Protein 12","Protein Coding","37","GC05M032227","0.897009134292603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR12"
"NCS1","Neuronal Calcium Sensor 1","Protein Coding","41","GC09P130172","0.896875143051147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCS1"
"DAZAP2","DAZ Associated Protein 2","Protein Coding","36","GC12P051238","0.896875143051147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAZAP2"
"EPX","Eosinophil Peroxidase","Protein Coding","43","GC17P058192","0.896783769130707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPX"
"CENPV","Centromere Protein V","Protein Coding","32","GC17M016342","0.896149516105652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPV"
"TIPARP","TCDD Inducible Poly(ADP-Ribose) Polymerase","Protein Coding","33","GC03P156673","0.895179510116577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIPARP"
"TAS2R5","Taste 2 Receptor Member 5","Protein Coding","30","GC07P148688","0.895179510116577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAS2R5"
"HDAC7","Histone Deacetylase 7","Protein Coding","43","GC12M047782","0.895038783550262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC7"
"ZHX3","Zinc Fingers And Homeoboxes 3","Protein Coding","34","GC20M041178","0.895038783550262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZHX3"
"FOXRED2","FAD Dependent Oxidoreductase Domain Containing 2","Protein Coding","33","GC22M036487","0.894911408424377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXRED2"
"DIS3","DIS3 Homolog, Exosome Endoribonuclease And 3'-5' Exoribonuclease","Protein Coding","41","GC13M072752","0.894646048545837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIS3"
"NUMB","NUMB Endocytic Adaptor Protein","Protein Coding","44","GC14M073275","0.894590497016907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMB"
"UBXN11","UBX Domain Protein 11","Protein Coding","36","GC01M026281","0.893859386444092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBXN11"
"CXXC5","CXXC Finger Protein 5","Protein Coding","38","GC05P139647","0.893636047840118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXXC5"
"WNT4","Wnt Family Member 4","Protein Coding","45","GC01M022190","0.893557012081146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4"
"ORC5","Origin Recognition Complex Subunit 5","Protein Coding","36","GC07M104126","0.893552422523499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORC5"
"KIF7","Kinesin Family Member 7","Protein Coding","38","GC15M089608","0.893518805503845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF7"
"GDF10","Growth Differentiation Factor 10","Protein Coding","37","GC10P047300","0.893437922000885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF10"
"TENT4A","Terminal Nucleotidyltransferase 4A","Protein Coding","30","GC05P006713","0.893366575241089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT4A"
"CBX8","Chromobox 8","Protein Coding","37","GC17M079794","0.893138349056244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX8"
"PDLIM1","PDZ And LIM Domain 1","Protein Coding","40","GC10M095237","0.892816066741943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDLIM1"
"SLC7A2","Solute Carrier Family 7 Member 2","Protein Coding","41","GC08P017497","0.892292141914368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A2"
"EXOSC5","Exosome Component 5","Protein Coding","38","GC19M065802","0.891920506954193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC5"
"RMC1","Regulator Of MON1-CCZ1","Protein Coding","24","GC18P023504","0.891813635826111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMC1"
"JAKMIP2","Janus Kinase And Microtubule Interacting Protein 2","Protein Coding","34","GC05M147585","0.891763806343079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAKMIP2"
"TTC22","Tetratricopeptide Repeat Domain 22","Protein Coding","31","GC01M054779","0.891763806343079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC22"
"RNF144A","Ring Finger Protein 144A","Protein Coding","38","GC02P006917","0.891241610050201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF144A"
"HAUS1","HAUS Augmin Like Complex Subunit 1","Protein Coding","33","GC18P046104","0.891209006309509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAUS1"
"GPR26","G Protein-Coupled Receptor 26","Protein Coding","36","GC10P123666","0.891185522079468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR26"
"SMIM4","Small Integral Membrane Protein 4","Protein Coding","26","GC03P052534","0.891166925430298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMIM4"
"CENPB","Centromere Protein B","Protein Coding","36","GC20M003783","0.891044557094574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPB"
"ESPL1","Extra Spindle Pole Bodies Like 1, Separase","Protein Coding","40","GC12P053268","0.890442550182343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESPL1"
"NT5DC3","5'-Nucleotidase Domain Containing 3","Protein Coding","32","GC12M103770","0.890225410461426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5DC3"
"KNSTRN","Kinetochore Localized Astrin (SPAG5) Binding Protein","Protein Coding","36","GC15P040382","0.889949798583984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNSTRN"
"CHD2","Chromodomain Helicase DNA Binding Protein 2","Protein Coding","43","GC15P092900","0.889534115791321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD2"
"CARD16","Caspase Recruitment Domain Family Member 16","Protein Coding","35","GC11M105041","0.889367818832397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD16"
"TRIM31","Tripartite Motif Containing 31","Protein Coding","37","GC06M065862","0.889023423194885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM31"
"BCL2L14","BCL2 Like 14","Protein Coding","37","GC12P012049","0.888985991477966","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L14"
"CDCP2","CUB Domain Containing Protein 2","Protein Coding","29","GC01M054133","0.888790130615234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCP2"
"IPO9","Importin 9","Protein Coding","35","GC01P201829","0.888585567474365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO9"
"GGA1","Golgi Associated, Gamma Adaptin Ear Containing, ARF Binding Protein 1","Protein Coding","36","GC22P037608","0.888540267944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGA1"
"RC3H1","Ring Finger And CCCH-Type Domains 1","Protein Coding","35","GC01M173931","0.888540267944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RC3H1"
"PCDHGB1","Protocadherin Gamma Subfamily B, 1","Protein Coding","34","GC05P146210","0.888540267944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDHGB1"
"NFIA","Nuclear Factor I A","Protein Coding","44","GC01P060865","0.888273179531097","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIA"
"PAPOLG","Poly(A) Polymerase Gamma","Protein Coding","38","GC02P060756","0.88813978433609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPOLG"
"NDOR1","NADPH Dependent Diflavin Oxidoreductase 1","Protein Coding","37","GC09P137205","0.887512266635895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDOR1"
"IGHE","Immunoglobulin Heavy Constant Epsilon","Protein Coding","30","GC14M112707","0.887180626392365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE"
"CEP131","Centrosomal Protein 131","Protein Coding","33","GC17M081189","0.88701868057251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP131"
"GRAMD1B","GRAM Domain Containing 1B","Protein Coding","33","GC11P123358","0.886812567710876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRAMD1B"
"CSGALNACT2","Chondroitin Sulfate N-Acetylgalactosaminyltransferase 2","Protein Coding","38","GC10P043138","0.886589765548706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSGALNACT2"
"CTF1","Cardiotrophin 1","Protein Coding","37","GC16P041104","0.886589765548706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTF1"
"POLA2","DNA Polymerase Alpha 2, Accessory Subunit","Protein Coding","39","GC11P069969","0.886474013328552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA2"
"SETD1B","SET Domain Containing 1B, Histone Lysine Methyltransferase","Protein Coding","37","GC12P126230","0.885963559150696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD1B"
"MAGED4B","MAGE Family Member D4B","Protein Coding","30","GC0XM052061","0.885853469371796","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGED4B"
"SLC30A4","Solute Carrier Family 30 Member 4","Protein Coding","38","GC15M045479","0.885737061500549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A4"
"PTX3","Pentraxin 3","Protein Coding","41","GC03P157436","0.885263502597809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"POLL","DNA Polymerase Lambda","Protein Coding","42","GC10M101578","0.884985208511353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLL"
"NNMT","Nicotinamide N-Methyltransferase","Protein Coding","42","GC11P114257","0.884834349155426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNMT"
"UACA","Uveal Autoantigen With Coiled-Coil Domains And Ankyrin Repeats","Protein Coding","37","GC15M070654","0.884637236595154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UACA"
"XIRP2","Xin Actin Binding Repeat Containing 2","Protein Coding","35","GC02P166888","0.884289383888245","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIRP2"
"BRD3","Bromodomain Containing 3","Protein Coding","40","GC09M134030","0.884193420410156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD3"
"STON1-GTF2A1L","STON1-GTF2A1L Readthrough","Protein Coding","29","GC02P048529","0.882609248161316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STON1-GTF2A1L"
"PTBP2","Polypyrimidine Tract Binding Protein 2","Protein Coding","40","GC01P096721","0.882472515106201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP2"
"DYRK3","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 3","Protein Coding","40","GC01P206636","0.882437705993652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK3"
"TLR6","Toll Like Receptor 6","Protein Coding","42","GC04M038828","0.882059693336487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR6"
"SNRNP48","Small Nuclear Ribonucleoprotein U11/U12 Subunit 48","Protein Coding","33","GC06P007590","0.881793022155762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP48"
"ACBD7","Acyl-CoA Binding Domain Containing 7","Protein Coding","33","GC10M015166","0.881635963916779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD7"
"ADRA1B","Adrenoceptor Alpha 1B","Protein Coding","45","GC05P159867","0.881624341011047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1B"
"MAPK8IP3","Mitogen-Activated Protein Kinase 8 Interacting Protein 3","Protein Coding","40","GC16P001706","0.881336867809296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP3"
"SPCS1","Signal Peptidase Complex Subunit 1","Protein Coding","34","GC03P053062","0.881215572357178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPCS1"
"GPSM2","G Protein Signaling Modulator 2","Protein Coding","41","GC01P108875","0.880710959434509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPSM2"
"QPCTL","Glutaminyl-Peptide Cyclotransferase Like","Protein Coding","33","GC19P045692","0.880641639232635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QPCTL"
"CHPT1","Choline Phosphotransferase 1","Protein Coding","38","GC12P101696","0.880238831043243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHPT1"
"PLEKHB1","Pleckstrin Homology Domain Containing B1","Protein Coding","35","GC11P073647","0.879965364933014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHB1"
"LTV1","LTV1 Ribosome Biogenesis Factor","Protein Coding","32","GC06P143843","0.879944503307343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTV1"
"STX16","Syntaxin 16","Protein Coding","40","GC20P058652","0.879833459854126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX16"
"MRO","Maestro","Protein Coding","29","GC18M050795","0.879807114601135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRO"
"ZNF598","Zinc Finger Protein 598, E3 Ubiquitin Ligase","Protein Coding","33","GC16M007104","0.879415392875671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF598"
"AAMP","Angio Associated Migratory Cell Protein","Protein Coding","36","GC02M218264","0.879402756690979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAMP"
"RABGGTA","Rab Geranylgeranyltransferase Subunit Alpha","Protein Coding","40","GC14M024265","0.87939178943634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABGGTA"
"RPAP1","RNA Polymerase II Associated Protein 1","Protein Coding","34","GC15M041517","0.878511846065521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPAP1"
"TCTN2","Tectonic Family Member 2","Protein Coding","38","GC12P123671","0.878464579582214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCTN2"
"RO60","Ro60, Y RNA Binding Protein","Protein Coding","29","GC01P193059","0.87835693359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RO60"
"HAVCR1","Hepatitis A Virus Cellular Receptor 1","Protein Coding","41","GC05M157028","0.878356456756592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR1"
"WNK3","WNK Lysine Deficient Protein Kinase 3","Protein Coding","39","GC0XM054310","0.87823212146759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNK3"
"RPL29P31","Ribosomal Protein L29 Pseudogene 31","Pseudogene","6","GC17P043476","0.878098845481873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL29P31"
"ABLIM3","Actin Binding LIM Protein Family Member 3","Protein Coding","36","GC05P149141","0.878042578697205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABLIM3"
"GPR89A","G Protein-Coupled Receptor 89A","Protein Coding","32","GC01P145607","0.87787526845932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR89A"
"PHLDB3","Pleckstrin Homology Like Domain Family B Member 3","Protein Coding","31","GC19M043474","0.877722382545471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLDB3"
"RHBDD1","Rhomboid Domain Containing 1","Protein Coding","34","GC02P226805","0.877607464790344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDD1"
"NNAT","Neuronatin","Protein Coding","30","GC20P037521","0.877584934234619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNAT"
"CPO","Carboxypeptidase O","Protein Coding","34","GC02P206939","0.876795589923859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPO"
"GLYATL2","Glycine-N-Acyltransferase Like 2","Protein Coding","32","GC11M089463","0.876795589923859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLYATL2"
"RNF121","Ring Finger Protein 121","Protein Coding","32","GC11P071960","0.876694440841675","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF121"
"CUTC","CutC Copper Transporter","Protein Coding","36","GC10P099702","0.876110374927521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUTC"
"RASAL2","RAS Protein Activator Like 2","Protein Coding","37","GC01P178093","0.876070261001587","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASAL2"
"SPSB2","SplA/Ryanodine Receptor Domain And SOCS Box Containing 2","Protein Coding","34","GC12M006918","0.875954866409302","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPSB2"
"NECAP2","NECAP Endocytosis Associated 2","Protein Coding","34","GC01P016441","0.875481843948364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NECAP2"
"SDHDP3","Succinate Dehydrogenase Complex Subunit D Pseudogene 3","Pseudogene","8","GC03P169709","0.875473022460938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHDP3"
"CDC42BPB","CDC42 Binding Protein Kinase Beta","Protein Coding","41","GC14M102932","0.875213623046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42BPB"
"UNC5B","Unc-5 Netrin Receptor B","Protein Coding","39","GC10P071212","0.875213623046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC5B"
"FGF22","Fibroblast Growth Factor 22","Protein Coding","37","GC19P000639","0.875027656555176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF22"
"TOR3A","Torsin Family 3 Member A","Protein Coding","36","GC01P179081","0.874812006950378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR3A"
"WDR47","WD Repeat Domain 47","Protein Coding","33","GC01M108970","0.874543011188507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR47"
